=== model-lab :: living weights on RTX 5090 (own CUDA engine) ===
merkle verify: 40.8 ms
LOAD q8 ok content_id=8ccc1709ddf54384 mismatches=0
GPU: NVIDIA GeForce RTX 5090 | own-kernel path (NVRTC JIT, no cuBLAS)
PTX cache hit assets/ptx-cache/44f40e20f375eb99ddf8821405e0297d.ptx (0 ms)
PARITY cpu_vs_gpu positions<=12 max_abs_logit_diff=0.000351 argmax_agree=100%
FACTS f1_word=lantern f2_word=cavern
BASELINE fact1_rank=30413 p=3.55e-8 | fact2_rank=10475 p=6.72e-7 | heldout_nll=3.5694
EPOCH  0 loss=6.0553 f1_rank=18923 f2_rank=1520 france_top1_moved=true heldout_nll=3.7186
EPOCH  1 loss=6.3401 f1_rank=9503 f2_rank=543 france_top1_moved=true heldout_nll=3.9287
EPOCH  2 loss=6.0553 f1_rank=2785 f2_rank=155 france_top1_moved=true heldout_nll=4.1285
EPOCH  3 loss=6.3401 f1_rank=874 f2_rank=75 france_top1_moved=true heldout_nll=4.4613
EPOCH  4 loss=6.0553 f1_rank=606 f2_rank=56 france_top1_moved=true heldout_nll=4.4538
EPOCH  5 loss=6.3401 f1_rank=369 f2_rank=43 france_top1_moved=true heldout_nll=4.6679
EPOCH  6 loss=6.0553 f1_rank=390 f2_rank=44 france_top1_moved=true heldout_nll=4.5575
EPOCH  7 loss=6.3401 f1_rank=289 f2_rank=39 france_top1_moved=true heldout_nll=4.7270
EPOCH  8 loss=6.0553 f1_rank=354 f2_rank=41 france_top1_moved=true heldout_nll=4.5856
EPOCH  9 loss=6.3401 f1_rank=261 f2_rank=38 france_top1_moved=true heldout_nll=4.7425
EPOCH 10 loss=6.0553 f1_rank=344 f2_rank=41 france_top1_moved=true heldout_nll=4.5929
EPOCH 11 loss=6.3401 f1_rank=256 f2_rank=38 france_top1_moved=true heldout_nll=4.7465
EPOCH 12 loss=6.0553 f1_rank=342 f2_rank=41 france_top1_moved=true heldout_nll=4.5948
EPOCH 13 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7476
EPOCH 14 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5953
EPOCH 15 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7478
EPOCH 16 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5954
EPOCH 17 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 18 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5954
